city,state,zip,county,population,slug,combined_rate,combined_rate_pct,taxable,jurisdiction_levels,needs_review,address_valid,seo_title,meta_description,intro_text
Temecula,CA,92589,Riverside,106780,temecula-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Temecula, CA Sales Tax Calculator","The combined sales tax rate in Temecula, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Temecula, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Norwalk,CA,90651,Los Angeles,106589,norwalk-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Norwalk, CA Sales Tax Calculator","The combined sales tax rate in Norwalk, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Norwalk, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Everett,WA,98203,Snohomish,105370,everett-wa,0.09900,9.9%,true,STATE|COUNTY|DISTRICT,false,skipped,"Everett, WA Sales Tax Calculator","The combined sales tax rate in Everett, WA is 9.9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Everett, WA is 9.9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Wichita Falls,TX,76301,Wichita,104898,wichita-falls-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"Wichita Falls, TX Sales Tax Calculator","The combined sales tax rate in Wichita Falls, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Wichita Falls, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Palm Bay,FL,32905,Brevard,104898,palm-bay-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Palm Bay, FL Sales Tax Calculator","The combined sales tax rate in Palm Bay, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Palm Bay, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Green Bay,WI,54304,Brown,104779,green-bay-wi,0.05500,5.5%,true,STATE|COUNTY,false,skipped,"Green Bay, WI Sales Tax Calculator","The combined sales tax rate in Green Bay, WI is 5.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Green Bay, WI is 5.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Daly City,CA,94016,San Mateo,104739,daly-city-ca,0.09875,9.875%,true,STATE|COUNTY|DISTRICT,false,skipped,"Daly City, CA Sales Tax Calculator","The combined sales tax rate in Daly City, CA is 9.875%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Daly City, CA is 9.875%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Burbank,CA,91503,Los Angeles,104709,burbank-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Burbank, CA Sales Tax Calculator","The combined sales tax rate in Burbank, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Burbank, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Richardson,TX,75081,Dallas,104475,richardson-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Richardson, TX Sales Tax Calculator","The combined sales tax rate in Richardson, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Richardson, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pompano Beach,FL,33066,Broward,104410,pompano-beach-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Pompano Beach, FL Sales Tax Calculator","The combined sales tax rate in Pompano Beach, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pompano Beach, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
North Charleston,SC,29418,Charleston,104054,north-charleston-sc,0.09000,9%,true,STATE|LOCAL,false,skipped,"North Charleston, SC Sales Tax Calculator","The combined sales tax rate in North Charleston, SC is 9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in North Charleston, SC is 9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Broken Arrow,OK,74013,Tulsa,103500,broken-arrow-ok,0.08417,8.417%,true,STATE|COUNTY|CITY,false,skipped,"Broken Arrow, OK Sales Tax Calculator","The combined sales tax rate in Broken Arrow, OK is 8.417%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Broken Arrow, OK is 8.417%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Boulder,CO,80304,Boulder,103166,boulder-co,0.05335,5.335%,true,STATE|COUNTY|DISTRICT,false,skipped,"Boulder, CO Sales Tax Calculator","The combined sales tax rate in Boulder, CO is 5.335%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Boulder, CO is 5.335%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
West Palm Beach,FL,33409,Palm Beach,102436,west-palm-beach-fl,0.06500,6.5%,true,STATE|COUNTY,false,skipped,"West Palm Beach, FL Sales Tax Calculator","The combined sales tax rate in West Palm Beach, FL is 6.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in West Palm Beach, FL is 6.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Maria,CA,93456,Santa Barbara,102216,santa-maria-ca,0.08750,8.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Maria, CA Sales Tax Calculator","The combined sales tax rate in Santa Maria, CA is 8.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Maria, CA is 8.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
El Cajon,CA,92022,San Diego,102211,el-cajon-ca,0.08250,8.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"El Cajon, CA Sales Tax Calculator","The combined sales tax rate in El Cajon, CA is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in El Cajon, CA is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Davenport,IA,52806,Scott,102157,davenport-ia,0.07000,7%,true,STATE|LOCAL,false,skipped,"Davenport, IA Sales Tax Calculator","The combined sales tax rate in Davenport, IA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Davenport, IA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Rialto,CA,92376,San Bernardino,101910,rialto-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Rialto, CA Sales Tax Calculator","The combined sales tax rate in Rialto, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Rialto, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Las Cruces,NM,88004,Doña Ana,101324,las-cruces-nm,0.08390,8.39%,true,STATE|COUNTY|CITY,false,skipped,"Las Cruces, NM Sales Tax Calculator","The combined sales tax rate in Las Cruces, NM is 8.39%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Las Cruces, NM is 8.39%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Mateo,CA,94403,San Mateo,101128,san-mateo-ca,0.09625,9.625%,true,STATE|COUNTY|DISTRICT,false,skipped,"San Mateo, CA Sales Tax Calculator","The combined sales tax rate in San Mateo, CA is 9.625%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Mateo, CA is 9.625%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lewisville,TX,75057,Denton,101074,lewisville-tx,0.08250,8.25%,true,STATE|CITY|DISTRICT,false,skipped,"Lewisville, TX Sales Tax Calculator","The combined sales tax rate in Lewisville, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lewisville, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
South Bend,IN,46601,St. Joseph,100886,south-bend-in,0.07000,7%,true,STATE,false,skipped,"South Bend, IN Sales Tax Calculator","The combined sales tax rate in South Bend, IN is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in South Bend, IN is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lakeland,FL,33804,Polk,100710,lakeland-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Lakeland, FL Sales Tax Calculator","The combined sales tax rate in Lakeland, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lakeland, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Erie,PA,16503,Erie,100671,erie-pa,0.07000,7%,true,STATE|COUNTY,false,skipped,"Erie, PA Sales Tax Calculator","The combined sales tax rate in Erie, PA is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Erie, PA is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tyler,TX,75711,Smith,100223,tyler-tx,0.08250,8.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Tyler, TX Sales Tax Calculator","The combined sales tax rate in Tyler, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tyler, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Pearland,TX,77581,Brazoria,100065,pearland-tx,0.08250,8.25%,true,STATE|COUNTY|CITY,false,skipped,"Pearland, TX Sales Tax Calculator","The combined sales tax rate in Pearland, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Pearland, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
College Station,TX,77840,Brazos,100050,college-station-tx,0.08250,8.25%,true,STATE|COUNTY|CITY,false,skipped,"College Station, TX Sales Tax Calculator","The combined sales tax rate in College Station, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in College Station, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Kenosha,WI,53141,Kenosha,99889,kenosha-wi,0.05500,5.5%,true,STATE|COUNTY,false,skipped,"Kenosha, WI Sales Tax Calculator","The combined sales tax rate in Kenosha, WI is 5.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Kenosha, WI is 5.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Clovis,CA,93611,Fresno,99769,clovis-ca,0.08975,8.975%,true,STATE|COUNTY|DISTRICT,false,skipped,"Clovis, CA Sales Tax Calculator","The combined sales tax rate in Clovis, CA is 8.975%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Clovis, CA is 8.975%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Flint,MI,48555,Genesee,99763,flint-mi,0.06000,6%,true,STATE,false,skipped,"Flint, MI Sales Tax Calculator","The combined sales tax rate in Flint, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Flint, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Roanoke,VA,24001,Roanoke (city),98465,roanoke-va,0.05300,5.3%,true,STATE|COUNTY,false,skipped,"Roanoke, VA Sales Tax Calculator","The combined sales tax rate in Roanoke, VA is 5.3%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Roanoke, VA is 5.3%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Albany,NY,12210,Albany,98424,albany-ny,0.08000,8%,true,STATE|LOCAL,false,skipped,"Albany, NY Sales Tax Calculator","The combined sales tax rate in Albany, NY is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Albany, NY is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Compton,CA,90220,Los Angeles,97877,compton-ca,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Compton, CA Sales Tax Calculator","The combined sales tax rate in Compton, CA is 10.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Compton, CA is 10.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
San Angelo,TX,76902,Tom Green,97492,san-angelo-tx,0.08250,8.25%,true,STATE|COUNTY|CITY,false,skipped,"San Angelo, TX Sales Tax Calculator","The combined sales tax rate in San Angelo, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in San Angelo, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Hillsboro,OR,97124,Washington,97368,hillsboro-or,0.00000,0%,false,,false,skipped,"Hillsboro, OR Sales Tax Calculator","Hillsboro, OR has no general sales tax. Use the calculator to check tax by product category and see your total.","Hillsboro, OR doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Lawton,OK,73502,Comanche,97151,lawton-ok,0.09000,9%,true,STATE|COUNTY|CITY,false,skipped,"Lawton, OK Sales Tax Calculator","The combined sales tax rate in Lawton, OK is 9%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lawton, OK is 9%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Renton,WA,98056,King,97003,renton-wa,0.10500,10.5%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Renton, WA Sales Tax Calculator","The combined sales tax rate in Renton, WA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Renton, WA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Vista,CA,92085,San Diego,96929,vista-ca,0.09125,9.125%,true,STATE|COUNTY|DISTRICT,false,skipped,"Vista, CA Sales Tax Calculator","The combined sales tax rate in Vista, CA is 9.125%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Vista, CA is 9.125%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Greeley,CO,80639,Weld,96539,greeley-co,0.07010,7.01%,true,STATE|CITY,false,skipped,"Greeley, CO Sales Tax Calculator","The combined sales tax rate in Greeley, CO is 7.01%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Greeley, CO is 7.01%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Mission Viejo,CA,92692,Orange,96346,mission-viejo-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Mission Viejo, CA Sales Tax Calculator","The combined sales tax rate in Mission Viejo, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Mission Viejo, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Portsmouth,VA,23707,Portsmouth (city),96205,portsmouth-va,0.06000,6%,true,STATE|COUNTY|DISTRICT,false,skipped,"Portsmouth, VA Sales Tax Calculator","The combined sales tax rate in Portsmouth, VA is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Portsmouth, VA is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Dearborn,MI,48120,Wayne,95884,dearborn-mi,0.06000,6%,true,STATE,false,skipped,"Dearborn, MI Sales Tax Calculator","The combined sales tax rate in Dearborn, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Dearborn, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
South Gate,CA,90280,Los Angeles,95677,south-gate-ca,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"South Gate, CA Sales Tax Calculator","The combined sales tax rate in South Gate, CA is 10.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in South Gate, CA is 10.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Tuscaloosa,AL,35403,Tuscaloosa,95334,tuscaloosa-al,0.04000,4%,true,STATE,true,skipped,"Tuscaloosa, AL Sales Tax Calculator","The combined sales tax rate in Tuscaloosa, AL is 4%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Tuscaloosa, AL is 4%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Livonia,MI,48151,Wayne,95208,livonia-mi,0.06000,6%,true,STATE,false,skipped,"Livonia, MI Sales Tax Calculator","The combined sales tax rate in Livonia, MI is 6%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Livonia, MI is 6%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
New Bedford,MA,02741,Bristol,95078,new-bedford-ma,0.06250,6.25%,true,STATE,false,skipped,"New Bedford, MA Sales Tax Calculator","The combined sales tax rate in New Bedford, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in New Bedford, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Vacaville,CA,95688,Solano,94275,vacaville-ca,0.08125,8.125%,true,STATE|COUNTY|DISTRICT,false,skipped,"Vacaville, CA Sales Tax Calculator","The combined sales tax rate in Vacaville, CA is 8.125%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Vacaville, CA is 8.125%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Brockton,MA,02303,Plymouth,94089,brockton-ma,0.06250,6.25%,true,STATE,false,skipped,"Brockton, MA Sales Tax Calculator","The combined sales tax rate in Brockton, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Brockton, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Roswell,GA,30077,Fulton,94034,roswell-ga,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Roswell, GA Sales Tax Calculator","The combined sales tax rate in Roswell, GA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Roswell, GA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Beaverton,OR,97075,Washington,93542,beaverton-or,0.00000,0%,false,,false,skipped,"Beaverton, OR Sales Tax Calculator","Beaverton, OR has no general sales tax. Use the calculator to check tax by product category and see your total.","Beaverton, OR doesn't charge a general sales tax. Use the calculator below to confirm how specific product categories are treated."
Quincy,MA,02170,Norfolk,93494,quincy-ma,0.06250,6.25%,true,STATE,false,skipped,"Quincy, MA Sales Tax Calculator","The combined sales tax rate in Quincy, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Quincy, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sparks,NV,89434,Washoe,93282,sparks-nv,0.08265,8.265%,true,STATE|COUNTY,false,skipped,"Sparks, NV Sales Tax Calculator","The combined sales tax rate in Sparks, NV is 8.265%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sparks, NV is 8.265%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Yakima,WA,98907,Yakima,93257,yakima-wa,0.08200,8.2%,true,STATE|COUNTY,false,skipped,"Yakima, WA Sales Tax Calculator","The combined sales tax rate in Yakima, WA is 8.2%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Yakima, WA is 8.2%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lee's Summit,MO,64002,Jackson,93184,lee-s-summit-mo,0.06975,6.975%,true,STATE|CITY,false,skipped,"Lee's Summit, MO Sales Tax Calculator","The combined sales tax rate in Lee's Summit, MO is 6.975%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lee's Summit, MO is 6.975%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Federal Way,WA,98003,King,92734,federal-way-wa,0.10400,10.4%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Federal Way, WA Sales Tax Calculator","The combined sales tax rate in Federal Way, WA is 10.4%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Federal Way, WA is 10.4%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Carson,CA,90745,Los Angeles,92599,carson-ca,0.10500,10.5%,true,STATE|COUNTY|DISTRICT,false,skipped,"Carson, CA Sales Tax Calculator","The combined sales tax rate in Carson, CA is 10.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Carson, CA is 10.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Monica,CA,90406,Los Angeles,92472,santa-monica-ca,0.10750,10.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Monica, CA Sales Tax Calculator","The combined sales tax rate in Santa Monica, CA is 10.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Monica, CA is 10.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Hesperia,CA,92345,San Bernardino,92147,hesperia-ca,0.07750,7.75%,true,STATE|COUNTY|DISTRICT,false,skipped,"Hesperia, CA Sales Tax Calculator","The combined sales tax rate in Hesperia, CA is 7.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Hesperia, CA is 7.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Allen,TX,75002,Collin,92020,allen-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"Allen, TX Sales Tax Calculator","The combined sales tax rate in Allen, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Allen, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Rio Rancho,NM,87124,Sandoval,91956,rio-rancho-nm,0.07437,7.438%,true,STATE|COUNTY|CITY,false,skipped,"Rio Rancho, NM Sales Tax Calculator","The combined sales tax rate in Rio Rancho, NM is 7.438%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Rio Rancho, NM is 7.438%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Yuma,AZ,85365,Yuma,91923,yuma-az,0.08412,8.412%,true,STATE|COUNTY|CITY,false,skipped,"Yuma, AZ Sales Tax Calculator","The combined sales tax rate in Yuma, AZ is 8.412%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Yuma, AZ is 8.412%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Westminster,CA,92685,Orange,91739,westminster-ca,0.09250,9.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Westminster, CA Sales Tax Calculator","The combined sales tax rate in Westminster, CA is 9.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Westminster, CA is 9.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Orem,UT,84097,Utah,91648,orem-ut,0.06750,6.75%,true,STATE|COUNTY|CITY,false,skipped,"Orem, UT Sales Tax Calculator","The combined sales tax rate in Orem, UT is 6.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Orem, UT is 6.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lynn,MA,01903,Essex,91589,lynn-ma,0.06250,6.25%,true,STATE,false,skipped,"Lynn, MA Sales Tax Calculator","The combined sales tax rate in Lynn, MA is 6.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lynn, MA is 6.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Redding,CA,96003,Shasta,91119,redding-ca,0.07250,7.25%,true,STATE|COUNTY,false,skipped,"Redding, CA Sales Tax Calculator","The combined sales tax rate in Redding, CA is 7.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Redding, CA is 7.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Miami Beach,FL,33154,Miami-Dade,91026,miami-beach-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Miami Beach, FL Sales Tax Calculator","The combined sales tax rate in Miami Beach, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Miami Beach, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
League City,TX,77574,Galveston,90983,league-city-tx,0.08250,8.25%,true,STATE|CITY,false,skipped,"League City, TX Sales Tax Calculator","The combined sales tax rate in League City, TX is 8.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in League City, TX is 8.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Lawrence,KS,66045,Douglas,90811,lawrence-ks,0.09350,9.35%,true,STATE|COUNTY|CITY,false,skipped,"Lawrence, KS Sales Tax Calculator","The combined sales tax rate in Lawrence, KS is 9.35%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Lawrence, KS is 9.35%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Santa Barbara,CA,93105,Santa Barbara,90412,santa-barbara-ca,0.09250,9.25%,true,STATE|COUNTY|DISTRICT,false,skipped,"Santa Barbara, CA Sales Tax Calculator","The combined sales tax rate in Santa Barbara, CA is 9.25%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Santa Barbara, CA is 9.25%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Plantation,FL,33388,Broward,90268,plantation-fl,0.07000,7%,true,STATE|COUNTY,false,skipped,"Plantation, FL Sales Tax Calculator","The combined sales tax rate in Plantation, FL is 7%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Plantation, FL is 7%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Sandy,UT,84093,Salt Lake,90231,sandy-ut,0.06750,6.75%,true,STATE|COUNTY|CITY,false,skipped,"Sandy, UT Sales Tax Calculator","The combined sales tax rate in Sandy, UT is 6.75%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Sandy, UT is 6.75%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Macon,GA,31207,Bibb,89981,macon-ga,0.08000,8%,true,STATE|COUNTY,false,skipped,"Macon, GA Sales Tax Calculator","The combined sales tax rate in Macon, GA is 8%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Macon, GA is 8%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Longmont,CO,80502,Boulder,89919,longmont-co,0.08865,8.865%,true,STATE|COUNTY|CITY|DISTRICT,false,skipped,"Longmont, CO Sales Tax Calculator","The combined sales tax rate in Longmont, CO is 8.865%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Longmont, CO is 8.865%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
Boca Raton,FL,33427,Palm Beach,89407,boca-raton-fl,0.06500,6.5%,true,STATE|COUNTY,false,skipped,"Boca Raton, FL Sales Tax Calculator","The combined sales tax rate in Boca Raton, FL is 6.5%. Enter a price to calculate the exact sales tax and total by product category.","The combined sales tax rate in Boca Raton, FL is 6.5%, made up of state, county, and local district rates. Enter a purchase amount below to see the exact tax for what you're buying."
